feature_set,sleep_feature,cv_id,n_test,r2
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,0.04589506399818688
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,-0.05281283871263476
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,32,225,-0.013715758610982842
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,33,225,-0.0494469621142839
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,34,224,0.015028236106969461
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,35,224,-0.019523026584709724
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,36,225,0.035761581337540815
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,37,225,-0.03501516636766677
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,38,224,-0.044405028310289696
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,39,224,-0.024121995784200934
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,0,368,-0.054158818291028865
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,1,367,-0.02380449942930918
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,2,367,-0.050718593486710484
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,3,367,-0.03196472329651123
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,368,0.022955998474247008
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,5,367,-0.06379810675043518
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,6,367,-0.07497130603693059
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,7,367,-0.06903019836671165
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,8,368,-0.006770290765320652
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,9,367,-0.09886513019744769
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,10,367,-0.08093965764506938
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,11,367,-0.04175421747640207
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,12,368,-0.05371982121230556
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,13,367,-0.03903577733588515
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,14,367,-0.014074806630371972
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,-0.029979010091353064
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,-0.030771353044722005
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,-0.04947052368173077
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.05577340182228552
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,-0.07414440535615863
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,-0.02255436162832747
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.04359884705334016
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.008233944879693533
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.07903896660736143
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.012792098086637171
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,-0.06166354668954366
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,-0.07035617045677056
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,0.01060439417888237
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,-0.007464894635388353
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.020851268756320263
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,30,367,-0.0004825622177468958
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,31,367,-0.02097090285511327
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,32,368,-0.05597563208888001
control_covariate_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,33,367,-0.04996442032951243
