dependent_feature,independent_feature,formula,error,model_type
sleep_timeInBed_log1p_resid,diet_freq_raw_vegetables_salad_daily,sleep_timeInBed_log1p_resid ~ diet_freq_raw_vegetables_salad_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_soft_drinks_daily,sleep_timeInBed_log1p_resid ~ diet_freq_soft_drinks_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_beans_legumes_daily,sleep_timeInBed_log1p_resid ~ diet_freq_beans_legumes_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_breakfast_cereal_daily,sleep_timeInBed_log1p_resid ~ diet_freq_breakfast_cereal_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_cheese_daily,sleep_timeInBed_log1p_resid ~ diet_freq_cheese_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_cook_home_daily,sleep_timeInBed_log1p_resid ~ diet_freq_cook_home_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_cooked_green_vegetables_daily,sleep_timeInBed_log1p_resid ~ diet_freq_cooked_green_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_cooked_root_vegetables_daily,sleep_timeInBed_log1p_resid ~ diet_freq_cooked_root_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_eating_out_daily,sleep_timeInBed_log1p_resid ~ diet_freq_eating_out_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_eggs_daily,sleep_timeInBed_log1p_resid ~ diet_freq_eggs_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_french_fries_daily,sleep_timeInBed_log1p_resid ~ diet_freq_french_fries_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_fruit_juice_daily,sleep_timeInBed_log1p_resid ~ diet_freq_fruit_juice_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_ice_cream_daily,sleep_timeInBed_log1p_resid ~ diet_freq_ice_cream_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_meat_daily,sleep_timeInBed_log1p_resid ~ diet_freq_meat_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
