dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 4.45% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_1_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_1_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.78% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Lawsonella_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Lawsonella_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.78% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_nan_nan_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_nan_nan_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Frankiales_Geodermatophilaceae_Modestobacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Frankiales_Geodermatophilaceae_Modestobacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Beutenbergiaceae_Salana_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Beutenbergiaceae_Salana_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Bogoriellaceae_Georgenia_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Bogoriellaceae_Georgenia_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Brevibacteriaceae_Brevibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Brevibacteriaceae_Brevibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Cellulomonadaceae_Cellulomonas_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Cellulomonadaceae_Cellulomonas_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Brachybacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Brachybacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Dermabacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Dermabacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
